task,code
"write a python program to add two numbers","def add_two_numbers(a, b):\n    return a + b\n\nsum_result = add_two_numbers(5, 3)"
"write a python function to add two user provided numbers and return the sum","def add_user_numbers():\n    a = float(input('Enter first number: '))\n    b = float(input('Enter second number: '))\n    return a + b\n\nresult = add_user_numbers()"
"write a program to find and print the largest among three numbers","def largest_of_three(a, b, c):\n    return max(a, b, c)\n\nlargest = largest_of_three(4, 7, 3)"
"write a program to find and print the smallest among three numbers","def smallest_of_three(a, b, c):\n    return min(a, b, c)\n\nsmallest = smallest_of_three(4, 7, 3)"
"Write a python function to merge two given lists into one","def merge_lists(list1, list2):\n    return list1 + list2\n\nmerged = merge_lists([1, 2], [3, 4])"
"Write a program to check whether a number is prime or not","def is_prime(num):\n    if num < 2:\n        return False\n    for i in range(2, int(num ** 0.5) + 1):\n        if num % i == 0:\n            return False\n    return True\n\nprime_check = is_prime(11)"
"Write a python function that prints the factors of a given number","def print_factors(num):\n    for i in range(1, num + 1):\n        if num % i == 0:\n            print(i)\n\nprint_factors(12)"
"Write a program to find the factorial of a number","def factorial(n):\n    fact = 1\n    for i in range(1, n + 1):\n        fact *= i\n    return fact\n\nfact_result = factorial(5)"
"Write a python function to print whether a number is negative, positive or zero","def check_number(num):\n    if num > 0:\n        return 'Positive'\n    elif num < 0:\n        return 'Negative'\n    else:\n        return 'Zero'\n\nresult = check_number(0)"
"Write a program to print the multiplication table of a given number","def multiplication_table(n):\n    for i in range(1, 11):\n        print(f'{n} x {i} = {n * i}')\n\nmultiplication_table(5)"
"Write a python function to print powers of 2, for given number of terms","def powers_of_two(terms):\n    for i in range(terms):\n        print(2 ** i)\n\npowers_of_two(5)"
"Write a program to filter the numbers in a list which are divisible by a given number","def filter_divisible(lst, divisor):\n    return [num for num in lst if num % divisor == 0]\n\nfiltered_list = filter_divisible([10, 15, 20, 25], 5)"
"Write a python function that returns the sum of n natural numbers","def sum_of_natural_numbers(n):\n    return sum(range(1, n + 1))\n\nsum_result = sum_of_natural_numbers(5)"
"Write a program to swap first and last elements in a list","def swap_first_last(lst):\n    lst[0], lst[-1] = lst[-1], lst[0]\n    return lst\n\nswapped_list = swap_first_last([1, 2, 3, 4])"
"Write a python function to find the area of a circle, whose radius is given","import math\n\ndef area_of_circle(radius):\n    return math.pi * radius ** 2\n\narea = area_of_circle(5)"
"Write a program to print the sum of squares of first n natural numbers","def sum_of_squares(n):\n    return sum([i ** 2 for i in range(1, n + 1)])\n\nsum_squares = sum_of_squares(5)"
"Write a program to print the length of a list","def list_length(lst):\n    return len(lst)\n\nlength = list_length([1, 2, 3, 4])"
"Write a python function to print the length of a given tuple","def tuple_length(tup):\n    return len(tup)\n\nlength = tuple_length((1, 2, 3))"
"Write a python function to print the elements of a given list, one element in a line","def print_elements(lst):\n    for item in lst:\n        print(item)\n\nprint_elements([1, 2, 3])"
"Write a python function to remove all the odd numbers from a list and return the remaining list","def remove_odds(lst):\n    return [num for num in lst if num % 2 == 0]\n\neven_list = remove_odds([1, 2, 3, 4])"
"Write a python function to remove all the even numbers from a list and return the remaining list","def remove_evens(lst):\n    return [num for num in lst if num % 2 != 0]\n\nodd_list = remove_evens([1, 2, 3, 4])"
"Write a function that takes two lists as input and returns a zipped list of corresponding elements","def zip_lists(list1, list2):\n    return list(zip(list1, list2))\n\nzipped = zip_lists([1, 2], [3, 4])"
"Write a program to print the contents of a given file","def print_file_contents(filename):\n    with open(filename, 'r') as file:\n        print(file.read())"
"Write a function that returns the LCM of two input numbers","import math\n\ndef lcm(a, b):\n    return abs(a * b) // math.gcd(a, b)\n\nlcm_result = lcm(12, 15)"
"Write a program to print the unique elements in a list","def unique_elements(lst):\n    return list(set(lst))\n\nunique_list = unique_elements([1, 2, 2, 3, 4])"
"Write a function that returns the sum of digits of a given number","def sum_of_digits(num):\n    return sum(int(digit) for digit in str(num))\n\ndigit_sum = sum_of_digits(12345)"
"Write a program to check and print whether a number is palindrome or not","def is_palindrome(num):\n    return str(num) == str(num)[::-1]\n\npalindrome_check = is_palindrome(121)"
"Write a function that prints a given value, n number of times","def print_n_times(value, n):\n    for _ in range(n):\n        print(value)\n\nprint_n_times('Hello', 3)"
"Write a function to find the area of square","def area_of_square(side):\n    return side ** 2\n\narea = area_of_square(4)"
"Write a function to find the perimeter of a square","def perimeter_of_square(side):\n    return 4 * side\n\nperimeter = perimeter_of_square(4)"
"Write a function to find the area of rectangle","def area_of_rectangle(length, width):\n    return length * width\n\narea = area_of_rectangle(5, 3)"
"Write a function to find the perimeter of a rectangle","def perimeter_of_rectangle(length, width):\n    return 2 * (length + width)\n\nperimeter = perimeter_of_rectangle(5, 3)"
"Write a python function to find the area of a circle, whose radius is given","import math\n\ndef area_of_circle(radius):\n    return math.pi * radius ** 2\n\narea = area_of_circle(5)"
"Write a function to calculate and return electricity bill. Units used are given. Price per unit is fixed and is increased after 750 units.","def electricity_bill(units):\n    if units <= 750:\n        return units * 1.5\n    else:\n        return (750 * 1.5) + ((units - 750) * 2.0)\n\nbill = electricity_bill(800)"
"Write a function to return day of a week, given the number","import calendar\n\ndef day_of_week(num):\n    return calendar.day_name[num - 1]\n\nday = day_of_week(3)"
"Write a program to calculate and print the volume of a cylinder","import math\n\ndef volume_of_cylinder(radius, height):\n    return math.pi * radius ** 2 * height\n\nvolume = volume_of_cylinder(3, 5)"
"Write a function to calculate and return the average of input numbers","def average_of_numbers(*args):\n    return sum(args) / len(args)\n\navg = average_of_numbers(2, 4, 6, 8)"
"Write a function to calculate compound interest, given p, r, t","def compound_interest(principal, rate, time):\n    return principal * (1 + rate / 100) ** time\n\ninterest = compound_interest(1000, 5, 2)"
"Write a function to calculate simple interest, given p, r, t","def simple_interest(principal, rate, time):\n    return (principal * rate * time) / 100\n\ninterest = simple_interest(1000, 5, 2)"
"Write a program to print a given string, replacing all the vowels with '_'","def replace_vowels(s):\n    return ''.join(['_' if char in 'aeiouAEIOU' else char for char in s])\n\nreplaced = replace_vowels('hello world')"
"Write a function to check whether a number if perfect or not","def is_perfect(num):\n    return num == sum(i for i in range(1, num) if num % i == 0)\n\ncheck = is_perfect(28)"
"Write a program to find and print the area of a triangle, whose height and width are given.","def area_of_triangle(base, height):\n    return 0.5 * base * height\n\narea = area_of_triangle(10, 5)"
"Write a function to find acceleration, given u, v and t","def acceleration(u, v, t):\n    return (v - u) / t\n\naccel = acceleration(0, 60, 5)"
"Write a lambda function to multiply two numbers","multiply = lambda x, y: x * y\n\nresult = multiply(3, 4)"
"Write a lambda function to add two numbers","add = lambda x, y: x + y\n\nresult = add(5, 7)"
"Write a lambda function that gives True if the input number is even otherwise False","even_check = lambda x: x % 2 == 0\n\ncheck = even_check(4)"
"Write a lambda function to to give character from its ascii value","char_from_ascii = lambda x: chr(x)\n\ncharacter = char_from_ascii(65)"
"Write a lambda function to that gives the number of digits in a number","digit_count = lambda x: len(str(abs(x)))\n\ncount = digit_count(12345)"
"Write a program to to check if a triangle is valid or not, given its all three angles","def is_triangle_valid(a, b, c):\n    return a + b + c == 180\n\nvalid = is_triangle_valid(60, 60, 60)"
"Write a program to to check if a triangle is valid or not, given its all three sides' length","def is_triangle_valid(s1, s2, s3):\n    return s1 + s2 > s3 and s2 + s3 > s1 and s1 + s3 > s2\n\nvalid = is_triangle_valid(3, 4, 5)"
"Write a lambda function that gives the word count in a statement.","word_count = lambda statement: len(statement.split())\n\ncount = word_count('This is a test')"
"Write a program to extract and print digits of a number in reverse order. The number is input from user.","def reverse_digits(num):\n    return ''.join(reversed(str(num)))\n\nreversed_digits = reverse_digits(12345)"
"Write a function that takes in height(m) and weight(kg), calculates BMI and prints the comments","def calculate_bmi(height, weight):\n    bmi = weight / height ** 2\n    if bmi < 18.5:\n        return 'Underweight'\n    elif bmi < 24.9:\n        return 'Normal'\n    else:\n        return 'Overweight'\n\nbmi_category = calculate_bmi(1.75, 70)"
"Write a program that prints all the alphabets in a string and skips all other characters","def print_alphabets(s):\n    for char in s:\n        if char.isalpha():\n            print(char)\n\nprint_alphabets('hello123')"
Write a function that takes number of disks in tower of hanoi problem and returns the minimum number of steps required,"def tower_of_hanoi(n): return 2 ** n - 1"
Write a lambda function to convert centimeters to inches,"cm_to_inch = lambda cm: cm / 2.54"
Write a lambda function to find the union of two lists,"union = lambda list1, list2: list(set(list1) | set(list2))"
Write a lambda function to find the intersection of two lists,"intersection = lambda list1, list2: list(set(list1) & set(list2))"
Write a program that adds the square of two numbers and prints it,"def sum_of_squares(a, b): return a**2 + b**2"
Write a python function to concat the input strings and there's also a choice for separator,"def concat_strings(*args, separator=' '): return separator.join(args)"
Write a program to print all the even numbers in a range,"def print_even_numbers(start, end): return [num for num in range(start, end+1) if num % 2 == 0]"
write a python program to sort dictionary items,"def sort_dict(d): return dict(sorted(d.items()))"
write a program to display date and time,"from datetime import datetime; print(datetime.now())"
write a program to return the absolute value,"def absolute_value(num): return abs(num)"
write a python program to check the length of list,"def list_length(lst): return len(lst)"
write a Python program to calculate number of days between two dates. YYYY/MM/DD,"from datetime import datetime; date1 = datetime.strptime('2025/01/01', '%Y/%m/%d'); date2 = datetime.strptime('2025/03/01', '%Y/%m/%d'); print((date2 - date1).days)"
write a Python program to convert Python objects into JSON strings,"import json; obj = {'name': 'John', 'age': 30}; print(json.dumps(obj))"
write a Python program to get the largest number from a list,"def largest_number(lst): return max(lst)"
write a Python program to remove duplicates from a list,"def remove_duplicates(lst): return list(set(lst))"
